concept_id,concept_name,vocabulary_id,domain_id
22820,Tuberculosis of esophagus,SNOMED,Condition
26899,Tuberculous laryngitis,SNOMED,Condition
72817,Tuberculosis of urinary organs,SNOMED,Condition
73122,Tuberculosis of knee,SNOMED,Condition
73686,Tuberculosis of genitourinary system,SNOMED,Condition
75456,Tuberculosis of epididymis,SNOMED,Condition
78672,Tuberculosis of hip,SNOMED,Condition
80626,Tuberculosis of bone,SNOMED,Condition
81496,Tuberculosis of vertebral column,SNOMED,Condition
134851,Tuberculosis of intrathoracic lymph nodes,SNOMED,Condition
137205,Tuberculosis of skin,SNOMED,Condition
139722,Tuberculoma of spinal cord,SNOMED,Condition
141777,Tuberculosis of thyroid gland,SNOMED,Condition
192818,Tuberculosis of male genital organs,SNOMED,Condition
193955,Tuberculosis of kidney,SNOMED,Condition
194268,Tuberculous peritonitis,SNOMED,Condition
195176,Tuberculosis of spleen,SNOMED,Condition
196019,"Tuberculosis of intestines, peritoneum and mesenteric glands",SNOMED,Condition
197204,Tuberculosis of female genital organs,SNOMED,Condition
198336,Tuberculous salpingitis,SNOMED,Condition
198674,Tuberculosis of urinary bladder,SNOMED,Condition
198957,Tuberculosis of ureter,SNOMED,Condition
201779,Tuberculosis of adrenal glands,SNOMED,Condition
252235,Tuberculous pneumothorax,SNOMED,Condition
253121,"Tuberculosis of lung, confirmed by culture only",SNOMED,Condition
253954,Pulmonary tuberculosis,SNOMED,Condition
254266,Tuberculous pneumonia,SNOMED,Condition
255175,Nodular tuberculosis of lung,SNOMED,Condition
255454,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",SNOMED,Condition
256018,"Tuberculosis of lung, confirmed histologically",SNOMED,Condition
256896,Tuberculosis of bronchus,SNOMED,Condition
258335,Tuberculous fibrosis of lung,SNOMED,Condition
258675,Tuberculous pleurisy in primary progressive tuberculosis,SNOMED,Condition
260315,Tuberculosis of lung with cavitation,SNOMED,Condition
260630,"Tuberculosis of lung, bacteriological and histological examination not done",SNOMED,Condition
260936,Infiltrative lung tuberculosis,SNOMED,Condition
261495,Tuberculosis of pleura,SNOMED,Condition
261774,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",SNOMED,Condition
374267,Tuberculosis of central nervous system,SNOMED,Condition
374270,Tuberculosis of eye,SNOMED,Condition
375732,Tuberculoma of brain,SNOMED,Condition
